Authors,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,DOI,Publisher,Author Keywords,Title,Affiliations,Source Title,ISBN,Funding Information,Link,Citation Count,References,Conference Date,Identifier,combined_text,Classification
J. Li; B. Huang; H. Gui; X. Liu; J. Xu,2025.0,,,83.0,87.0,"The acceleration of urbanization in China has resulted in a direct impact on the efficiency of the rational use of water resources, as the urban water supply system plays an important role in urban construction. However, the issue of water supply pipe network leakage is becoming increasingly problematic, as it is directly related to the quality of life of urban residents and the smooth progress of industrial production. Therefore, it is crucial to accurately predict flow changes in urban water supply pipe networks and promptly identify instances of leakage. However, traditional deep learning models are not well-suited for effectively capturing long-term dependencies. In this study, we propose a water supply network flow prediction method based on the time series large language model (LLM) Chronos. Chronos tokenizes time series values using scaling and quantization into a fixed vocabulary and trains existing transformer-based language model architectures on these tokenized time series via the cross-entropy loss. In the course of our experiments, we utilized traffic data from the Haida neighborhood for the year 2023 for the purpose of model evaluation and comparison with traditional LSTM and GRU and the extant time series LLMs, MOMENT and Timer. The results of our experiments demonstrate that Chronos outperforms LSTM, GRU, MOMENT and Timer in all evaluation metrics, thereby substantiating its high degree of accuracy and effectiveness in predicting complex time series data.",2995-3251,10.1109/ICCCS65393.2025.11069945,IEEE,flow prediction;long-term dependencies;time series;LLM,Flow Prediction of Water Supply Network Based on Time Series Large Language Model,"China National General Machinery, Engineering Corporation, Hefei, China; Sinomach General Machinery, Science& Technology Co., Ltd., Hefei, China; School of Computing and Information Technology, Hefei University of Technology, Hefei, China; Luoyang Bearing Research Institute Co., Ltd., Luoyang, China; School of Computing and Information Technology, Hefei University of Technology, Hefei, China",2025 10th International Conference on Computer and Communication System (ICCCS),979-8-3315-2314-5,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11069945,,18.0,,IEEE Conferences,"Flow Prediction of Water Supply Network Based on Time Series Large Language Model The acceleration of urbanization in China has resulted in a direct impact on the efficiency of the rational use of water resources, as the urban water supply system plays an important role in urban construction. However, the issue of water supply pipe network leakage is becoming increasingly problematic, as it is directly related to the quality of life of urban residents and the smooth progress of industrial production. Therefore, it is crucial to accurately predict flow changes in urban water supply pipe networks and promptly identify instances of leakage. However, traditional deep learning models are not well-suited for effectively capturing long-term dependencies. In this study, we propose a water supply network flow prediction method based on the time series large language model (LLM) Chronos. Chronos tokenizes time series values using scaling and quantization into a fixed vocabulary and trains existing transformer-based language model architectures on these tokenized time series via the cross-entropy loss. In the course of our experiments, we utilized traffic data from the Haida neighborhood for the year 2023 for the purpose of model evaluation and comparison with traditional LSTM and GRU and the extant time series LLMs, MOMENT and Timer. The results of our experiments demonstrate that Chronos outperforms LSTM, GRU, MOMENT and Timer in all evaluation metrics, thereby substantiating its high degree of accuracy and effectiveness in predicting complex time series data. 2025",The article is about a method for predicting flow changes in urban water supply pipe networks using a time series
H. He; J. Huang,2024.0,,,719.0,722.0,"As the impacts of global warming become increasingly severe, the frequency and intensity of drought disasters in China continue to escalate. Identifying drought hazard risk zones is of great significance for China in drought monitoring and early warning, drought resistance and disaster reduction, as well as water security. This study analyzes the historical textual data recording drought events in Anhui Province, utilizing data preprocessing, custom dictionaries, and sliding window matching retrieval methods to derive the frequency of droughts and drought hazard zones at the prefecture-level cities in Anhui Province. The results demonstrate the feasibility of assessing disaster risks through text analysis methods, providing a reference for evaluating other disaster types through textual data.",,10.1109/ISCTIS63324.2024.10698949,IEEE,component;Drought risk;Historical materials;Text Analysis;NLP,Analysis of Drought Risk in Anhui Province Based on Text Analysis,"Pearl River Water Resources Commission of the Ministry of Water Resources, Guangzhou, China; Pearl River Water Resources Commission of the Ministry of Water Resources, Guangzhou, China",2024 4th International Symposium on Computer Technology and Information Science (ISCTIS),979-8-3503-5456-0,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10698949,,10.0,,IEEE Conferences,"Analysis of Drought Risk in Anhui Province Based on Text Analysis As the impacts of global warming become increasingly severe, the frequency and intensity of drought disasters in China continue to escalate. Identifying drought hazard risk zones is of great significance for China in drought monitoring and early warning, drought resistance and disaster reduction, as well as water security. This study analyzes the historical textual data recording drought events in Anhui Province, utilizing data preprocessing, custom dictionaries, and sliding window matching retrieval methods to derive the frequency of droughts and drought hazard zones at the prefecture-level cities in Anhui Province. The results demonstrate the feasibility of assessing disaster risks through text analysis methods, providing a reference for evaluating other disaster types through textual data. 2024","Based on the title and abstract, the article is classified as Relevant to AI and hydrology. The"
M. Imam; A. Irshad; A. Qureshi; M. F. Shahid,2024.0,,,1.0,5.0,"In recent years, Artificial Intelligence (AI) has advanced at an unprecedented rate, showing promising potential in transforming industries and individual lifestyles. Our research focused on a comparative analysis between three approaches to report generation based on prompts using the Visual Language Model (VLM) Llama-3.2-11b-vision-preview and the Large Language Model (LLM) Llama-3.1-8b-instant. The VLM processed images, and the LLM handled text prompts. Both models were later combined for an innovative report-generation approach. The study indicated that the combined approach proved superior due to the integration of both visual and textual features. However, it is important to note that the performance of AI models heavily depends on factors such as data quality, computational resources, and prompts. By addressing these factors, this research also facilitates advanced monitoring of water quality, supporting sustainability efforts, and enhancing climate resilience.",2835-8864,10.1109/INMIC64792.2024.11004338,IEEE,Visual Language Model;Large Language Model;Climate Change,A Comparative Analysis between Visual Language and Large Language Models to Monitor Contaminated Water in the face of Climate Change,"Department of Computer Science, FAST National University of Computer and Emerging Sciences (NUCES), Karachi, Pakistan; Department of Artificial Intelligence, FAST National University of Computer and Emerging Sciences (NUCES), Karachi, Pakistan; Department of Computer Science, FAST National University of Computer and Emerging Sciences (NUCES), Karachi, Pakistan; Department of Artificial Intelligence and Data Science, FAST National University of Computer and Emerging Sciences (NUCES), Karachi, Pakistan",2024 26th International Multi-Topic Conference (INMIC),979-8-3315-0721-3,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11004338,,30.0,,IEEE Conferences,"A Comparative Analysis between Visual Language and Large Language Models to Monitor Contaminated Water in the face of Climate Change In recent years, Artificial Intelligence (AI) has advanced at an unprecedented rate, showing promising potential in transforming industries and individual lifestyles. Our research focused on a comparative analysis between three approaches to report generation based on prompts using the Visual Language Model (VLM) Llama-3.2-11b-vision-preview and the Large Language Model (LLM) Llama-3.1-8b-instant. The VLM processed images, and the LLM handled text prompts. Both models were later combined for an innovative report-generation approach. The study indicated that the combined approach proved superior due to the integration of both visual and textual features. However, it is important to note that the performance of AI models heavily depends on factors such as data quality, computational resources, and prompts. By addressing these factors, this research also facilitates advanced monitoring of water quality, supporting sustainability efforts, and enhancing climate resilience. 2024","The article is about a comparative analysis of three approaches to report generation using AI models, specifically Llama"
M. Xie; M. Feng; H. Wang; Y. Zhu,2024.0,,,296.0,300.0,"Combined with the application development of complex system, surveying and mapping, transportation and other fields, this paper uses GIS, navigation, AI and other technologies to build a complex water network that integrates physical water network, management water network, information water network and digital twin water network, and integrates water flow-information flow-business flow-value flow for all elements of water network and their topological relationships. At the same time, the research and development of water network theme natural language artificial intelligence processing tools, on this basis, combined with the complex system of water network, water network tetrahedron, as well as regional connectivity analysis, water network path analysis and other functional modules, research and development of water network navigation system, support water resources restructuring and optimization, obtain the best path of water resources allocation under multi-objective constraints, can efficiently and accurately support water network planning, decision-making and digital twin construction, at the same time, expand the supply mode of water network digital products and services, can further promote the new industry and new format of water network digitalization, new model, so as to serve the real economy of the water network to improve quality and efficiency.",,10.1109/DSInS64146.2024.10992184,IEEE,water network;complex system;tetrahedron;semantic model;navigation system,Design of Water Network Navigation System Based on Complex System,"Changjiang Survey, Planning, Design and Research Co., Ltd., Wuhan, China; Changjiang Survey, Planning, Design and Research Co., Ltd., Wuhan, China; College of Water Conservancy and Hydropower Engineering, Hohai University, Nanjing, China; College of Water Conservancy and Hydropower Engineering, Hohai University, Nanjing, China",2024 4th International Conference on Digital Society and Intelligent Systems (DSInS),979-8-3315-2882-9,"National Key R&D Program of China(grant numbers:2022YFC3005504); National Natural Science Foundation of China(grant numbers:52309152,U23B20150); Natural Science Foundation of Jiangsu Province(grant numbers:BK20220978); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10992184,,19.0,,IEEE Conferences,"Design of Water Network Navigation System Based on Complex System Combined with the application development of complex system, surveying and mapping, transportation and other fields, this paper uses GIS, navigation, AI and other technologies to build a complex water network that integrates physical water network, management water network, information water network and digital twin water network, and integrates water flow-information flow-business flow-value flow for all elements of water network and their topological relationships. At the same time, the research and development of water network theme natural language artificial intelligence processing tools, on this basis, combined with the complex system of water network, water network tetrahedron, as well as regional connectivity analysis, water network path analysis and other functional modules, research and development of water network navigation system, support water resources restructuring and optimization, obtain the best path of water resources allocation under multi-objective constraints, can efficiently and accurately support water network planning, decision-making and digital twin construction, at the same time, expand the supply mode of water network digital products and services, can further promote the new industry and new format of water network digitalization, new model, so as to serve the real economy of the water network to improve quality and efficiency. 2024",The article is relevant to AI and hydrology as it discusses the design of a water network navigation system
,,,,,,,,,,,,,,,,,,,,,,Relevant
,,,,,,,,,,,,,,,,,,,,,,Relevant
,,,,,,,,,,,,,,,,,,,,,,Relevant
,,,,,,,,,,,,,,,,,,,,,,Relevant
,,,,,,,,,,,,,,,,,,,,,,Relevant
,,,,,,,,,,,,,,,,,,,,,,Relevant
