Authors,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,DOI,Publisher,Author Keywords,Title,Affiliations,Source Title,ISBN,Funding Information,Link,Citation Count,References,Conference Date,Identifier,combined_text
J. Li; B. Huang; H. Gui; X. Liu; J. Xu,2025,,,83.0,87.0,"The acceleration of urbanization in China has resulted in a direct impact on the efficiency of the rational use of water resources, as the urban water supply system plays an important role in urban construction. However, the issue of water supply pipe network leakage is becoming increasingly problematic, as it is directly related to the quality of life of urban residents and the smooth progress of industrial production. Therefore, it is crucial to accurately predict flow changes in urban water supply pipe networks and promptly identify instances of leakage. However, traditional deep learning models are not well-suited for effectively capturing long-term dependencies. In this study, we propose a water supply network flow prediction method based on the time series large language model (LLM) Chronos. Chronos tokenizes time series values using scaling and quantization into a fixed vocabulary and trains existing transformer-based language model architectures on these tokenized time series via the cross-entropy loss. In the course of our experiments, we utilized traffic data from the Haida neighborhood for the year 2023 for the purpose of model evaluation and comparison with traditional LSTM and GRU and the extant time series LLMs, MOMENT and Timer. The results of our experiments demonstrate that Chronos outperforms LSTM, GRU, MOMENT and Timer in all evaluation metrics, thereby substantiating its high degree of accuracy and effectiveness in predicting complex time series data.",2995-3251,10.1109/ICCCS65393.2025.11069945,IEEE,flow prediction;long-term dependencies;time series;LLM,Flow Prediction of Water Supply Network Based on Time Series Large Language Model,"China National General Machinery, Engineering Corporation, Hefei, China; Sinomach General Machinery, Science& Technology Co., Ltd., Hefei, China; School of Computing and Information Technology, Hefei University of Technology, Hefei, China; Luoyang Bearing Research Institute Co., Ltd., Luoyang, China; School of Computing and Information Technology, Hefei University of Technology, Hefei, China",2025 10th International Conference on Computer and Communication System (ICCCS),979-8-3315-2314-5,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11069945,,18.0,,IEEE Conferences,"Flow Prediction of Water Supply Network Based on Time Series Large Language Model The acceleration of urbanization in China has resulted in a direct impact on the efficiency of the rational use of water resources, as the urban water supply system plays an important role in urban construction. However, the issue of water supply pipe network leakage is becoming increasingly problematic, as it is directly related to the quality of life of urban residents and the smooth progress of industrial production. Therefore, it is crucial to accurately predict flow changes in urban water supply pipe networks and promptly identify instances of leakage. However, traditional deep learning models are not well-suited for effectively capturing long-term dependencies. In this study, we propose a water supply network flow prediction method based on the time series large language model (LLM) Chronos. Chronos tokenizes time series values using scaling and quantization into a fixed vocabulary and trains existing transformer-based language model architectures on these tokenized time series via the cross-entropy loss. In the course of our experiments, we utilized traffic data from the Haida neighborhood for the year 2023 for the purpose of model evaluation and comparison with traditional LSTM and GRU and the extant time series LLMs, MOMENT and Timer. The results of our experiments demonstrate that Chronos outperforms LSTM, GRU, MOMENT and Timer in all evaluation metrics, thereby substantiating its high degree of accuracy and effectiveness in predicting complex time series data. 2025"
H. He; J. Huang,2024,,,719.0,722.0,"As the impacts of global warming become increasingly severe, the frequency and intensity of drought disasters in China continue to escalate. Identifying drought hazard risk zones is of great significance for China in drought monitoring and early warning, drought resistance and disaster reduction, as well as water security. This study analyzes the historical textual data recording drought events in Anhui Province, utilizing data preprocessing, custom dictionaries, and sliding window matching retrieval methods to derive the frequency of droughts and drought hazard zones at the prefecture-level cities in Anhui Province. The results demonstrate the feasibility of assessing disaster risks through text analysis methods, providing a reference for evaluating other disaster types through textual data.",,10.1109/ISCTIS63324.2024.10698949,IEEE,component;Drought risk;Historical materials;Text Analysis;NLP,Analysis of Drought Risk in Anhui Province Based on Text Analysis,"Pearl River Water Resources Commission of the Ministry of Water Resources, Guangzhou, China; Pearl River Water Resources Commission of the Ministry of Water Resources, Guangzhou, China",2024 4th International Symposium on Computer Technology and Information Science (ISCTIS),979-8-3503-5456-0,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10698949,,10.0,,IEEE Conferences,"Analysis of Drought Risk in Anhui Province Based on Text Analysis As the impacts of global warming become increasingly severe, the frequency and intensity of drought disasters in China continue to escalate. Identifying drought hazard risk zones is of great significance for China in drought monitoring and early warning, drought resistance and disaster reduction, as well as water security. This study analyzes the historical textual data recording drought events in Anhui Province, utilizing data preprocessing, custom dictionaries, and sliding window matching retrieval methods to derive the frequency of droughts and drought hazard zones at the prefecture-level cities in Anhui Province. The results demonstrate the feasibility of assessing disaster risks through text analysis methods, providing a reference for evaluating other disaster types through textual data. 2024"
M. Imam; A. Irshad; A. Qureshi; M. F. Shahid,2024,,,1.0,5.0,"In recent years, Artificial Intelligence (AI) has advanced at an unprecedented rate, showing promising potential in transforming industries and individual lifestyles. Our research focused on a comparative analysis between three approaches to report generation based on prompts using the Visual Language Model (VLM) Llama-3.2-11b-vision-preview and the Large Language Model (LLM) Llama-3.1-8b-instant. The VLM processed images, and the LLM handled text prompts. Both models were later combined for an innovative report-generation approach. The study indicated that the combined approach proved superior due to the integration of both visual and textual features. However, it is important to note that the performance of AI models heavily depends on factors such as data quality, computational resources, and prompts. By addressing these factors, this research also facilitates advanced monitoring of water quality, supporting sustainability efforts, and enhancing climate resilience.",2835-8864,10.1109/INMIC64792.2024.11004338,IEEE,Visual Language Model;Large Language Model;Climate Change,A Comparative Analysis between Visual Language and Large Language Models to Monitor Contaminated Water in the face of Climate Change,"Department of Computer Science, FAST National University of Computer and Emerging Sciences (NUCES), Karachi, Pakistan; Department of Artificial Intelligence, FAST National University of Computer and Emerging Sciences (NUCES), Karachi, Pakistan; Department of Computer Science, FAST National University of Computer and Emerging Sciences (NUCES), Karachi, Pakistan; Department of Artificial Intelligence and Data Science, FAST National University of Computer and Emerging Sciences (NUCES), Karachi, Pakistan",2024 26th International Multi-Topic Conference (INMIC),979-8-3315-0721-3,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11004338,,30.0,,IEEE Conferences,"A Comparative Analysis between Visual Language and Large Language Models to Monitor Contaminated Water in the face of Climate Change In recent years, Artificial Intelligence (AI) has advanced at an unprecedented rate, showing promising potential in transforming industries and individual lifestyles. Our research focused on a comparative analysis between three approaches to report generation based on prompts using the Visual Language Model (VLM) Llama-3.2-11b-vision-preview and the Large Language Model (LLM) Llama-3.1-8b-instant. The VLM processed images, and the LLM handled text prompts. Both models were later combined for an innovative report-generation approach. The study indicated that the combined approach proved superior due to the integration of both visual and textual features. However, it is important to note that the performance of AI models heavily depends on factors such as data quality, computational resources, and prompts. By addressing these factors, this research also facilitates advanced monitoring of water quality, supporting sustainability efforts, and enhancing climate resilience. 2024"
M. Xie; M. Feng; H. Wang; Y. Zhu,2024,,,296.0,300.0,"Combined with the application development of complex system, surveying and mapping, transportation and other fields, this paper uses GIS, navigation, AI and other technologies to build a complex water network that integrates physical water network, management water network, information water network and digital twin water network, and integrates water flow-information flow-business flow-value flow for all elements of water network and their topological relationships. At the same time, the research and development of water network theme natural language artificial intelligence processing tools, on this basis, combined with the complex system of water network, water network tetrahedron, as well as regional connectivity analysis, water network path analysis and other functional modules, research and development of water network navigation system, support water resources restructuring and optimization, obtain the best path of water resources allocation under multi-objective constraints, can efficiently and accurately support water network planning, decision-making and digital twin construction, at the same time, expand the supply mode of water network digital products and services, can further promote the new industry and new format of water network digitalization, new model, so as to serve the real economy of the water network to improve quality and efficiency.",,10.1109/DSInS64146.2024.10992184,IEEE,water network;complex system;tetrahedron;semantic model;navigation system,Design of Water Network Navigation System Based on Complex System,"Changjiang Survey, Planning, Design and Research Co., Ltd., Wuhan, China; Changjiang Survey, Planning, Design and Research Co., Ltd., Wuhan, China; College of Water Conservancy and Hydropower Engineering, Hohai University, Nanjing, China; College of Water Conservancy and Hydropower Engineering, Hohai University, Nanjing, China",2024 4th International Conference on Digital Society and Intelligent Systems (DSInS),979-8-3315-2882-9,"National Key R&D Program of China(grant numbers:2022YFC3005504); National Natural Science Foundation of China(grant numbers:52309152,U23B20150); Natural Science Foundation of Jiangsu Province(grant numbers:BK20220978); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10992184,,19.0,,IEEE Conferences,"Design of Water Network Navigation System Based on Complex System Combined with the application development of complex system, surveying and mapping, transportation and other fields, this paper uses GIS, navigation, AI and other technologies to build a complex water network that integrates physical water network, management water network, information water network and digital twin water network, and integrates water flow-information flow-business flow-value flow for all elements of water network and their topological relationships. At the same time, the research and development of water network theme natural language artificial intelligence processing tools, on this basis, combined with the complex system of water network, water network tetrahedron, as well as regional connectivity analysis, water network path analysis and other functional modules, research and development of water network navigation system, support water resources restructuring and optimization, obtain the best path of water resources allocation under multi-objective constraints, can efficiently and accurately support water network planning, decision-making and digital twin construction, at the same time, expand the supply mode of water network digital products and services, can further promote the new industry and new format of water network digitalization, new model, so as to serve the real economy of the water network to improve quality and efficiency. 2024"
R. Lan; G. Fan; M. Tian; Y. Yang; G. Wang; Q. Wang; J. Wang,2024,,,419.0,424.0,"Knowledge graph-based question-answering (KBQA) systems suffer from problems such as low-quality datasets and limited categories of candidate entities, which lead to difficulties in system construction and limited applications. To address this problem, a low-cost wide-domain KBQA system construction framework called LCWD-QA is proposed by combining deep learning, knowledge graphs, and large language models. First, an entity span prediction model was designed to recognize potential entity mentions in sentences. Then, the concept of entity popularity is introduced, and an entity-linking algorithm is designed to link entity mentions to specific entities in the knowledge graph. Finally, the Bert style of text classification models was used for intent recognition, and then different methods were used to generate the answer to that question. In addition, large language models were used to enhance the experimental dataset and generate supplementary answers to the knowledge graph to improve the generalization of the system. The experimental results show that the LCWD-QA system presented in this paper exhibits good performance on both entity span prediction and intent recognition subtasks, with an accuracy of 99.5%, which is better than that of the prevalent benchmark models. The system avoids the high dependence of traditional named entity recognition schemes on manually labeled datasets and has high accuracy and interpretability, which has high application and reference value.",2159-1288,10.1109/ICCEA62105.2024.10603818,IEEE,KBQA;Knowledge Graph;Entity Span Prediction;Large Language Model;Entity linking,Research on the framework of low-cost wide-domain Question-Answering system based on knowledge graph,"Pearl River Hydraulic Research Institute, Pearl River Water Resources Commission, Guangzhou, China; Pearl River Hydraulic Research Institute, Pearl River Water Resources Commission, Guangzhou, China; Pearl River Hydraulic Research Institute, Pearl River Water Resources Commission, Guangzhou, China; Pearl River Hydraulic Research Institute, Pearl River Water Resources Commission, Guangzhou, China; Pearl River Hydraulic Research Institute, Pearl River Water Resources Commission, Guangzhou, China; Pearl River Hydraulic Research Institute, Pearl River Water Resources Commission, Guangzhou, China; Pearl River Hydraulic Research Institute, Pearl River Water Resources Commission, Guangzhou, China",2024 5th International Conference on Computer Engineering and Application (ICCEA),979-8-3503-8677-6,Ministry of Water Resources; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10603818,,19.0,,IEEE Conferences,"Research on the framework of low-cost wide-domain Question-Answering system based on knowledge graph Knowledge graph-based question-answering (KBQA) systems suffer from problems such as low-quality datasets and limited categories of candidate entities, which lead to difficulties in system construction and limited applications. To address this problem, a low-cost wide-domain KBQA system construction framework called LCWD-QA is proposed by combining deep learning, knowledge graphs, and large language models. First, an entity span prediction model was designed to recognize potential entity mentions in sentences. Then, the concept of entity popularity is introduced, and an entity-linking algorithm is designed to link entity mentions to specific entities in the knowledge graph. Finally, the Bert style of text classification models was used for intent recognition, and then different methods were used to generate the answer to that question. In addition, large language models were used to enhance the experimental dataset and generate supplementary answers to the knowledge graph to improve the generalization of the system. The experimental results show that the LCWD-QA system presented in this paper exhibits good performance on both entity span prediction and intent recognition subtasks, with an accuracy of 99.5%, which is better than that of the prevalent benchmark models. The system avoids the high dependence of traditional named entity recognition schemes on manually labeled datasets and has high accuracy and interpretability, which has high application and reference value. 2024"
E. Ceh-Varela; E. Imhmed,2023,,,983.0,984.0,"In order to address current water challenges, scientific research on water-related issues is crucial. However, traditional techniques for selecting research topics, such as literature reviews and expert opinions, can be time-consuming and may not provide a comprehensive overview of available information. We propose using Natural Language Processing (NLP) techniques in this study to extract, align, and compare water research topics from different corpora. We apply these techniques to the research paper abstracts from the New Mexico Water Resources Research Institute (NMWRRI) and the U.S. Geological Survey (USGS) to assess these institutions’ current research interests and identify potential new research directions. We use a Latent Dirichlet Allocation (LDA) model for topic extraction and a Word2Vec model for topic alignment. This study highlights the benefits of using NLP techniques to analyze trends and identify novel research directions in water studies.",0730-3157,10.1109/COMPSAC57700.2023.00138,IEEE,water research;natural language processing;topic modeling;LDA;Word2Vec,Uncovering Water Research with Natural Language Processing,"Department of Mathematical Sciences, Eastern New Mexico University, Portales, NM, USA; Department of Mathematical Sciences, Eastern New Mexico University, Portales, NM, USA","2023 IEEE 47th Annual Computers, Software, and Applications Conference (COMPSAC)",979-8-3503-2697-0,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10197001,5.0,9.0,,IEEE Conferences,"Uncovering Water Research with Natural Language Processing In order to address current water challenges, scientific research on water-related issues is crucial. However, traditional techniques for selecting research topics, such as literature reviews and expert opinions, can be time-consuming and may not provide a comprehensive overview of available information. We propose using Natural Language Processing (NLP) techniques in this study to extract, align, and compare water research topics from different corpora. We apply these techniques to the research paper abstracts from the New Mexico Water Resources Research Institute (NMWRRI) and the U.S. Geological Survey (USGS) to assess these institutions’ current research interests and identify potential new research directions. We use a Latent Dirichlet Allocation (LDA) model for topic extraction and a Word2Vec model for topic alignment. This study highlights the benefits of using NLP techniques to analyze trends and identify novel research directions in water studies. 2023"
N. A; N. P. SS; R. R; K. G. R,2023,,,1078.0,1081.0,"Rainfall prediction is a significant problem in hydrology and meteorology. Accurate rainfall prediction can help farmers, water resource managers, and emergency responders plan for and mitigate the impacts of droughts, floods, and other extreme weather events. One popular approach to rainfall prediction is using machine learning models such as Bi-LSTM. The process of generating sequence information in both ways in any neural network referred to as Bi-LSTM. It is a style of neural network architecture that is frequently used for tasks involving sequence modeling, including voice recognition and natural language processing (NLP). By processing historical rainfall data as a sequence, a Bi-LSTM model can learn to predict future rainfall values with high accuracy. LSTM model is also implemented for the prediction and both the models are compared to determine the highly efficient model. In the proposed approach the Bi-LSTM is trained using CSV dataset of historical rainfall data. The LSTM model is equated with Bi-LSTM and the accuracy of Bi-LSTM is 96.55% which is higher than LSTM model accuracy of 94.36%.",,10.1109/ICAISS58487.2023.10250469,IEEE,Lstm;Bi-Lstm;Accuracy;Loss;Rainfall Prediction,Bi-LSTM Model based Real-time Rainfall Prediction,"Department of Computer Science and Engineering, Sri Ramakrishna Engineering College, Coimbatore, India; Department of Computer Science and Engineering, Sri Ramakrishna Engineering College, Coimbatore, India; Department of Computer Science and Engineering, Sri Ramakrishna Engineering College, Coimbatore, India; Department of Computer Science and Engineering, Sri Ramakrishna Engineering College, Coimbatore, India",2023 Second International Conference on Augmented Intelligence and Sustainable Systems (ICAISS),979-8-3503-2579-9,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10250469,5.0,15.0,,IEEE Conferences,"Bi-LSTM Model based Real-time Rainfall Prediction Rainfall prediction is a significant problem in hydrology and meteorology. Accurate rainfall prediction can help farmers, water resource managers, and emergency responders plan for and mitigate the impacts of droughts, floods, and other extreme weather events. One popular approach to rainfall prediction is using machine learning models such as Bi-LSTM. The process of generating sequence information in both ways in any neural network referred to as Bi-LSTM. It is a style of neural network architecture that is frequently used for tasks involving sequence modeling, including voice recognition and natural language processing (NLP). By processing historical rainfall data as a sequence, a Bi-LSTM model can learn to predict future rainfall values with high accuracy. LSTM model is also implemented for the prediction and both the models are compared to determine the highly efficient model. In the proposed approach the Bi-LSTM is trained using CSV dataset of historical rainfall data. The LSTM model is equated with Bi-LSTM and the accuracy of Bi-LSTM is 96.55% which is higher than LSTM model accuracy of 94.36%. 2023"
G. Yang; Y. Yan; D. Zeng; Y. Li; J. Zhang; W. Cao,2025,,,1.0,6.0,"In the field of water resources, documents contain numerous tables with important information such as water intake and precipitation. To improve the efficiency of water resources management, this paper proposes a table information Retrieval Augmented Generation method based on graph representation learning. The proposed method mainly includes the following two aspects: addressing the difficulty of retrieval caused by nested tables and asymmetric rows and columns in the field of water resources, a table information retrieval method based on graph representation learning is proposed; addressing the high professionalism and complex semantics of tables in the field of water resources, a table question-answering method based on large language model is proposed. Additionally, a water resources table information retrieval dataset is constructed, and the proposed method is comprehensively evaluated based on this dataset. Experimental results show that the method demonstrates high accuracy and adaptability in parsing and retrieving information from complex table structures.",2643-2978,10.1109/ICIT63637.2025.10965127,IEEE,table information retrieval;retrieval augmented generation;textual data,Retrieval Augmented Generation for Tables in Textual Documents based on Graph Representation Learning,"School of Automation, China University of Geosciences, Wuhan, China; School of Automation, China University of Geosciences, Wuhan, China; Network and Information Center, Changjiang Water Resources Commission, Wuhan, China; College of Automation, China University of Geosciences, Wuhan, China; Network and Information Center, Changjiang Water Resources Commission, Wuhan, China; School of Automation, China University of Geosciences, Wuhan, China",2025 IEEE International Conference on Industrial Technology (ICIT),979-8-3315-2195-0,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10965127,,12.0,,IEEE Conferences,"Retrieval Augmented Generation for Tables in Textual Documents based on Graph Representation Learning In the field of water resources, documents contain numerous tables with important information such as water intake and precipitation. To improve the efficiency of water resources management, this paper proposes a table information Retrieval Augmented Generation method based on graph representation learning. The proposed method mainly includes the following two aspects: addressing the difficulty of retrieval caused by nested tables and asymmetric rows and columns in the field of water resources, a table information retrieval method based on graph representation learning is proposed; addressing the high professionalism and complex semantics of tables in the field of water resources, a table question-answering method based on large language model is proposed. Additionally, a water resources table information retrieval dataset is constructed, and the proposed method is comprehensively evaluated based on this dataset. Experimental results show that the method demonstrates high accuracy and adaptability in parsing and retrieving information from complex table structures. 2025"
A. Al Noman; M. T. Rahman Tarafder; S. M. Tamim Hossain Rimon; A. Ahamed; S. Ahmed; A. Al Sakib,2024,,,1.0,6.0,"Clean water is a basic human need and necessary for environmental sustainability, particularly in rural areas with limited supplies of water where basic methods for monitoring water quality are seriously impeded. Combining explainable artificial intelligence (XAI) and large language models (LLMs) with remote sensing offers a possible solution. In this review, we examine an innovative framework that leverages satellite and UA V data to assess water quality through pioneering AI techniques. The proposed framework strongly emphasizes using LLMs for better data processing and Perspective formation, with XAI techniques to ensure trust at both stakeholder level and model visibility. Application of this approach could significantly improve real-time monitoring and notably valuable outcomes to conserve water supplies in resource-constrained environments. The framework is designed to be scalable and flexible to fit the specific environmental context of either rural environments or socioeconomic variables to ensure any water quality-monitoring program remains sustainable over time. This analysis shows how we can combine such emergent technology as AI with remote sensing to tackle large-scale water quality problems and open up new ways ofmonitoring our precious aquatic resources.",,10.1109/SIN63213.2024.10871835,IEEE,Clean water access;Water quality monitoring;Large language models (LLMs);Explainable artificial intelligence (XAI);Remote sensing;Satellite data;Water resource management;Rural areas;Real-time monitoring;Scalability;Sustainability,"Discoverable Hidden Patterns in Water Quality Through AI, LLMs, and Transparent Remote Sensing","College of Engineering and Technology, Westcliff University, Irvine, California, USA; College of Engineering and Technology, Westcliff University, Irvine, California, USA; Management & Marketing Department, Qatar University, Doha, Qatar; College of Engineering and Technology, Westcliff University, Irvine, California, USA; Computer and Information Sciences, International American University, Los Angeles, California, USA; College of Engineering and Technology, Westcliff University, Irvine, California, USA",2024 17th International Conference on Security of Information and Networks (SIN),979-8-3315-0973-6,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10871835,,50.0,,IEEE Conferences,"Discoverable Hidden Patterns in Water Quality Through AI, LLMs, and Transparent Remote Sensing Clean water is a basic human need and necessary for environmental sustainability, particularly in rural areas with limited supplies of water where basic methods for monitoring water quality are seriously impeded. Combining explainable artificial intelligence (XAI) and large language models (LLMs) with remote sensing offers a possible solution. In this review, we examine an innovative framework that leverages satellite and UA V data to assess water quality through pioneering AI techniques. The proposed framework strongly emphasizes using LLMs for better data processing and Perspective formation, with XAI techniques to ensure trust at both stakeholder level and model visibility. Application of this approach could significantly improve real-time monitoring and notably valuable outcomes to conserve water supplies in resource-constrained environments. The framework is designed to be scalable and flexible to fit the specific environmental context of either rural environments or socioeconomic variables to ensure any water quality-monitoring program remains sustainable over time. This analysis shows how we can combine such emergent technology as AI with remote sensing to tackle large-scale water quality problems and open up new ways ofmonitoring our precious aquatic resources. 2024"
S. Luo; J. Wang; A. Zhou; L. Ma; L. Song,2024,,,7960.0,7964.0,"Recently, large language models (LLMs) have demonstrated impressive capabilities and gained widespread applications. However, their direct application to recommendation tasks (e.g., rating prediction task) often falls short of optimal results due to a lack of understanding of collaborative information in recommendations. In this paper, we propose Large lAnguage Model Augmented Recommendation (LAMAR) framework to address this limitation. Instead of relying solely on LLMs, our framework combines their outputs with traditional recommendation models, leveraging both collaborative and semantic information. We further enhance the recommendation performance through an ensemble of diverse prompts and utilize LLMs to extract side information for augmenting traditional recommendation models. Empirical studies on real-world datasets demonstrate that LAMAR outperforms existing approaches, highlighting the benefits of leveraging LLMs in recommendation systems. Code is available at https: //github.com/sichunluo/LAMAR.",2379-190X,10.1109/ICASSP48485.2024.10447514,IEEE,recommender system;large language model;rating prediction,Large Language Models Augmented Rating Prediction in Recommender System,"Department of Computer Science, City University of Hong Kong; College of Water Resources and Architectural Engineering, Northwest A&F University; Department of Electronic Engineering, The Chinese University of Hong Kong; Library, Tsinghua University; Department of Computer Science, City University of Hong Kong","ICASSP 2024 - 2024 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",979-8-3503-4485-1,National Natural Science Foundation of China; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10447514,3.0,23.0,,IEEE Conferences,"Large Language Models Augmented Rating Prediction in Recommender System Recently, large language models (LLMs) have demonstrated impressive capabilities and gained widespread applications. However, their direct application to recommendation tasks (e.g., rating prediction task) often falls short of optimal results due to a lack of understanding of collaborative information in recommendations. In this paper, we propose Large lAnguage Model Augmented Recommendation (LAMAR) framework to address this limitation. Instead of relying solely on LLMs, our framework combines their outputs with traditional recommendation models, leveraging both collaborative and semantic information. We further enhance the recommendation performance through an ensemble of diverse prompts and utilize LLMs to extract side information for augmenting traditional recommendation models. Empirical studies on real-world datasets demonstrate that LAMAR outperforms existing approaches, highlighting the benefits of leveraging LLMs in recommendation systems. Code is available at https: //github.com/sichunluo/LAMAR. 2024"
